pop,code,mpg,ha,category,brood_yr,nS,phos
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1998,209,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,1999,149,0.05
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,2000,461,0.03
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,2001,608,0.06
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,2002,664,0.01
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,2003,559,0.01
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,2004,493,0.01
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,2005,348,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,2006,448,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,2007,313,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,2008,553,0.12
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,2009,765,0
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,2010,941,0.35
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,2011,842,0.17
Minam,GRMIN,Grande Ronde / Imnaha,37.7946,impact,2012,652,0.09
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1959,179,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1960,346,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1961,579,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1962,973,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1963,115,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1964,550,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1965,620,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1966,508,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1967,768,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1968,1014,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1969,1029,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1970,418,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1971,644,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1972,612,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1973,252,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1974,278,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1975,220,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1976,324,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1977,593,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1978,217,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1979,25,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1980,165,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1981,224,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1982,161,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1983,190,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1984,150,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1985,345,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1986,214,0.14
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1987,707,0.82
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1988,554,0.92
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1989,3,1
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1990,106,0.5
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1991,45,0.4
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1992,394,0.79
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1993,333,0.77
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1994,13,0.67
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1995,22,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1996,70,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1997,61,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1998,83,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,1999,4,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,2000,46,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,2001,50,0
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,2002,54,0.05
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,2003,174,0.19
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,2004,590,0.95
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,2005,319,0.96
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,2006,56,0.52
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,2007,17,0.16
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,2008,419,0.85
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,2009,219,0.84
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,2010,2137,0.95
GrandRUpperMain,GRUMA,Grande Ronde / Imnaha,32.2713,impact,2011,1342,0.9
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1964,1586,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1965,759,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1966,2672,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1967,1778,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1968,1230,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1969,2442,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1970,2682,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1971,1576,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1972,682,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1973,1971,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1974,471,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1975,288,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1976,192,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1977,577,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1978,740,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1979,48,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1980,231,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1981,192,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1982,260,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1983,221,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1984,115,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1985,346,0
Wenaha,GRWEN,Grande Ronde / Imnaha,49.2735,impact,1986,654,0
